,pickup_dt,borough,pickups,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday
1142,2015-01-08 06:00:00,Bronx,15,9.0,10.0,9.0,-12.0,1025.9,0.0,0.0,0.0,0.958333333333333,N
1148,2015-01-08 07:00:00,Bronx,40,11.0,10.0,8.0,-12.0,1026.5,0.0,0.0,0.0,0.916666666666667,N
1155,2015-01-08 08:00:00,Bronx,57,14.0,10.0,8.0,-12.0,1026.7,0.0,0.0,0.0,0.875,N
1161,2015-01-08 09:00:00,Bronx,29,10.0,10.0,8.0,-9.0,1026.9,0.0,0.0,0.0,0.833333333333333,N
1168,2015-01-08 10:00:00,Bronx,22,14.0,10.0,8.0,-9.0,1027.6,0.0,0.0,0.0,0.791666666666667,N
1175,2015-01-08 11:00:00,Bronx,25,9.0,10.0,9.0,-8.0,1028.6,0.0,0.0,0.0,0.75,N
1181,2015-01-08 12:00:00,Bronx,21,11.0,10.0,9.0,-8.0,1029.3,0.0,0.0,0.0,0.708333333333333,N
1188,2015-01-08 13:00:00,Bronx,33,6.0,10.0,9.0,-6.0,1030.0,0.0,0.0,0.0,0.666666666666667,N
1195,2015-01-08 14:00:00,Bronx,29,7.0,10.0,11.0,-4.0,1030.5,0.0,0.0,0.0,0.625,N
1201,2015-01-08 15:00:00,Bronx,46,9.0,10.0,13.0,-3.0,1030.4,0.0,0.0,0.0,0.583333333333333,N
1208,2015-01-08 16:00:00,Bronx,52,5.0,10.0,16.0,-2.0,1029.6,0.0,0.0,0.0,0.541666666666667,N
1214,2015-01-08 17:00:00,Bronx,49,6.0,10.0,18.0,-2.0,1028.2,0.0,0.0,0.0,0.5,N
1220,2015-01-08 18:00:00,Bronx,46,7.0,10.0,20.0,-1.0,1027.6,0.0,0.0,0.0,0.458333333333333,N
1227,2015-01-08 19:00:00,Bronx,39,8.0,10.0,20.0,-1.0,1027.5,0.0,0.0,0.0,0.416666666666667,N
1234,2015-01-08 20:00:00,Bronx,39,7.0,10.0,20.0,-1.0,1027.5,0.0,0.0,0.0,0.375,N
1241,2015-01-08 21:00:00,Bronx,36,5.0,10.0,20.0,0.0,1027.1,0.0,0.0,0.0,0.333333333333333,N
1247,2015-01-08 22:00:00,Bronx,37,7.0,10.0,19.0,-1.0,1026.9,0.0,0.0,0.0,0.291666666666667,N
1254,2015-01-08 23:00:00,Bronx,20,8.5,10.0,18.0,1.0,1026.7,0.0,0.0,0.0,0.25,N
1260,2015-01-09 00:00:00,Bronx,29,10.0,10.0,18.0,-1.0,1026.9,0.0,0.0,0.0,0.208333333333333,N
1266,2015-01-09 01:00:00,Bronx,16,11.0,10.0,17.0,-2.0,1026.9,0.0,0.0,0.0,0.166666666666667,N
1273,2015-01-09 02:00:00,Bronx,6,10.0,10.0,16.0,-3.0,1026.3,0.0,0.0,0.0,0.125,N
1280,2015-01-09 03:00:00,Bronx,9,10.0,10.0,17.0,-3.0,1025.6,0.0,0.0,0.0,0.0833333333333334,N
1286,2015-01-09 04:00:00,Bronx,4,6.0,10.0,18.0,-1.0,1024.6,0.0,0.0,0.0,0.0416666666666666,N
1292,2015-01-09 05:00:00,Bronx,6,6.0,10.0,19.0,1.0,1022.9,0.0,0.0,0.0,0.0,N
1299,2015-01-09 06:00:00,Bronx,14,8.0,10.0,20.0,2.0,1021.9,0.0,0.0,0.0025,0.0,N
1305,2015-01-09 07:00:00,Bronx,37,9.0,10.0,22.0,5.0,1020.4,0.0,0.0,0.0305,0.0,N
1312,2015-01-09 08:00:00,Bronx,56,6.0,10.0,23.0,7.0,1018.5,0.0,0.0,0.0555,0.0,N
1319,2015-01-09 09:00:00,Bronx,56,3.0,10.0,24.0,8.0,1016.6,0.0,0.0,0.0555,0.0,N
1326,2015-01-09 10:00:00,Bronx,32,9.0,10.0,25.0,8.0,1015.6,0.0,0.0,0.0555,0.0,N
